treatment,substrate_mc(%),substrate_ts(%),substrate_vs(%),substrate_fs(%),inoculum_mc(%),inoculum_ts(%),inoculum_vs(%),incolum_fs(%),scod(mg/L),tcod(mg/L),scod/tcod,trs(mg/L),lignin(%),5-hmf(mg/L),f/m,h2_yield(mL h2/g VS)
1,5.21,94.79,89.22,10.78,90.11,9.89,90.11,9.89,6000,11500,0.52,1.44,25.42,42.55,0.5,22.22
2,5.64,94.36,87.23,12.77,92.33,7.67,86.4,13.6,6400,12000,0.53,6.82,23.21,689.49,0.5,20.4
3,5.61,94.39,88.26,11.74,95.12,4.88,87.26,12.74,5800,8900,0.65,5.74,23,425.19,0.5,26.45
4,5.26,94.74,78.64,21.36,94.7,5.3,92.33,7.67,5800,9000,0.64,22.16,28.91,189.35,0.5,24.22
5,5.94,94.06,78.41,21.59,93.78,6.22,84.77,15.23,6000,11200,0.54,22.2,20.23,0,0.5,19.65
6,6.01,93.99,76.59,23.41,89.51,10.49,88.91,11.09,6200,15000,0.41,16.86,18.19,11.26,0.5,22.31
7,6.23,93.77,84.99,15.01,87.52,12.48,91.58,8.42,11000,16000,0.69,0.02,16.67,645.63,0.5,14.51
8,5,95,84.72,15.28,91.99,8.01,90.41,9.59,7800,14000,0.56,0,19.49,67.88,0.5,19.67
9,5.98,94.02,82.31,17.69,87.41,12.59,93.21,6.79,6400,12400,0.52,5.9,18.9,1145.36,0.5,0
10,5.87,94.13,83.8,16.2,90.9,9.1,90.65,9.35,8900,20200,0.44,7.98,19.79,700.36,0.5,24.21
11,6.23,93.77,79.55,20.45,88.66,11.34,87.59,12.41,6200,13400,0.46,6.79,27.23,465.66,0.5,21.15
12,5.22,94.78,82.36,17.64,90.12,9.88,88.52,11.48,5700,11000,0.52,14.52,24.25,222.54,1,64.23
13,5.89,94.11,86.45,13.55,85.64,14.36,89.92,10.08,7900,8700,0.91,17.45,14.44,354.68,1,63.8
14,5.92,94.08,88.16,11.84,84.66,15.34,91.23,8.77,6200,10200,0.61,16.25,12.23,116.38,1,86.63
15,5.71,94.29,79.56,20.44,87.84,12.16,90.91,9.09,4500,11050,0.41,11.08,16.48,141.65,1,93.52
16,5.76,94.24,91.22,8.78,92.65,7.35,86.22,13.78,6800,15000,0.45,21.83,21.34,38.66,1,87.65
17,6.08,93.92,77.42,22.58,89.22,10.78,84.15,15.85,6300,14400,0.44,8.36,20.98,64.68,1,67.22
18,6.04,93.96,85.55,14.45,89.17,10.83,87.63,12.37,6200,8700,0.71,22.36,20.91,113.36,1,91.2
19,6.07,93.93,83.27,16.73,88.07,11.93,88.09,11.91,5800,12500,0.46,5.86,21.08,211.09,1,112.36
20,5.99,94.01,83.24,16.76,91.23,8.77,88.21,11.79,5900,11200,0.53,4.99,15.77,317.22,1,63.9
21,5.45,94.55,83.21,16.79,92.42,7.58,85.65,14.35,5500,10800,0.51,18.77,20.41,195.03,1,84.67
22,6.16,93.84,83.18,16.82,86.33,13.67,91.77,8.23,6600,12800,0.52,6.79,16.88,116.81,1,87.26
23,7.04,92.96,89.26,10.74,90.23,9.77,90.9,9.1,6500,11400,0.57,17.89,15.33,345.46,1.5,105.44
24,7.35,92.65,76.25,23.75,91.32,8.68,89.99,10.01,6700,12000,0.56,16.53,14.89,122.03,1.5,108.64
25,6.25,93.75,89.77,10.23,86.43,13.57,88.52,11.48,8200,13200,0.62,14.58,23.25,246.59,1.5,92.59
26,6.13,93.87,81.67,18.33,89.92,10.08,88.63,11.37,8700,11000,0.79,17.86,19.39,116.53,1.5,110.65
27,6.31,93.69,85.53,14.47,91.25,8.75,90.91,9.09,6700,9900,0.68,16.35,21.35,156.49,1.5,109.52
28,5.44,94.56,86.44,13.56,90.24,9.76,89.12,10.88,6500,11000,0.59,13.57,16.48,247.24,1.5,163.2
29,6.37,93.63,89.92,10.08,90.09,9.91,90.36,9.64,6600,12200,0.54,9.11,14.64,444.69,1.5,133.23
30,6.24,93.76,87,13,89.34,10.66,91.24,8.76,12000,11600,1.03,16.11,16.48,152.02,1.5,128.93
31,6.11,93.89,56,44,84.63,15.37,89.26,10.74,5700,9500,0.6,15.13,21.66,166.32,1.5,126.34
32,6,94,89.93,10.07,86.63,13.37,87.56,12.44,5800,10500,0.55,23.12,7.73,133.23,1.5,137.45
33,6.49,93.51,90.61,9.39,88.42,11.58,88.93,11.07,6600,14000,0.47,24.56,4.56,78.25,1.5,145.66
34,6.52,93.48,92.67,7.33,92.11,7.89,88.64,11.36,6600,11400,0.58,24.66,14.22,148.33,2,364.56
35,5.58,94.42,84.56,15.44,86.4,13.6,87.65,12.35,6400,15000,0.43,12.23,11.43,356.32,2,333.52
36,6.12,93.88,83.33,16.67,88,12,87.63,12.37,6800,14000,0.49,15.59,8.89,112.33,2,435.55
37,7.46,92.54,89.99,10.01,87.64,12.36,89.68,10.32,6600,6400,1.03,18.75,5.74,46.64,2,378.19
38,6.64,93.36,91.25,8.75,86.33,13.67,81.64,18.36,5800,11400,0.51,19.35,6.5,69.14,2,554.89
39,7.12,92.88,87.88,12.12,90.64,9.36,86.66,13.34,8900,12000,0.74,21.66,6.22,12.33,2,399.93
40,5.64,94.36,88.63,11.37,92.63,7.37,91.66,8.34,6000,13500,0.44,22.36,6.44,778.25,2,106.23
41,5.89,94.11,90.91,9.09,90.23,9.77,91.06,8.94,7400,13600,0.54,27.77,4.33,76.23,2,393.62
42,6.45,93.55,90.09,9.91,91.24,8.76,91.48,8.52,5800,14000,0.41,17.64,4.78,481.65,2,411.12
43,7.67,92.33,88.42,11.58,90.28,9.72,86.45,13.55,6600,11000,0.6,19.26,3.59,36.63,2,309.8
44,8.13,91.87,88.63,11.37,88.38,11.62,87.65,12.35,6800,12000,0.57,16.54,11.42,316.31,2,419.87
45,6.54,93.46,90,10,88.64,11.36,88.46,11.54,6800,12500,0.54,34.66,12.58,186.63,2.5,302.61
46,5.88,94.12,90.94,9.06,87.66,12.34,86.66,13.34,6700,125000,0.05,18.56,16.44,189.45,2.5,201.68
47,8,92,89.66,10.34,86.44,13.56,86.45,13.55,6650,8900,0.75,14.76,11.47,199.25,2.5,299.12
48,6.41,93.59,87.45,12.55,89.42,10.58,89.65,10.35,6600,13200,0.5,13.22,10.09,111.39,2.5,323.65
49,6.97,93.03,88.55,11.45,90.01,9.99,84.67,15.33,5600,11500,0.49,16.65,7.89,145.68,2.5,278.46
50,7,93,91.92,8.08,89,11,86.76,13.24,5900,12200,0.48,18.13,7.45,25.33,2.5,293.61
51,5.44,94.56,93.66,6.34,89.45,10.55,88.34,11.66,5800,6000,0.97,13.97,9.88,168.3,2.5,216.35
52,5.01,94.99,86.45,13.55,87.45,12.55,89.11,10.89,6400,11500,0.56,64.87,3.45,500,2.5,207.8
53,6.12,93.88,89.12,10.88,87.58,12.42,81.22,18.78,8700,12000,0.73,1.22,21.16,183.33,2.5,336.51
54,6.34,93.66,88.24,11.76,88.33,11.67,90.23,9.77,6500,12500,0.52,24.21,11.32,165.83,2.5,201.12
55,6.47,93.53,87.21,12.79,88.57,11.43,93.33,6.67,6800,12000,0.57,25.22,15.31,349.32,2.5,263.48
56,5,95,90.07,9.93,90.33,9.67,90.06,9.94,4500,8900,0.51,16.7,11.23,672.11,3,198.26
57,5.46,94.54,90.18,9.82,79.25,20.75,94.65,5.35,7800,13500,0.58,15.48,16.62,111.13,3,104.29
58,5.88,94.12,89.25,10.75,86.44,13.56,89.65,10.35,6000,10000,0.6,15.24,8.55,198.35,3,166.23
59,7.14,92.86,83.36,16.64,84.25,15.75,89.12,10.88,6600,11000,0.6,17.26,8.14,188.63,3,200.25
60,8.11,91.89,91.11,8.89,86.12,13.88,88.24,11.76,6700,11000,0.61,19.24,6.15,199.91,3,177.46
