source_id,substrate_mc,substrate_ts,substrate_vs,substrate_fs,inoculum_mc,inoculum_ts,inoculum_vs,inoculum_fs,scod,tcod,scod_tcod_ratio,trs,lignin,hmf,fm_ratio,h2_yield
EXP_001,5.25797923,94.74202077,89.41399163,10.58600837,89.91752118,10.08247882,90.29752495,9.702475049,5994.478575,11361.48723,0.527613899,1.010567772,25.38045338,45.40817568,0.5,21.86821665
EXP_009,5.98306379,94.01693621,82.34946016,17.65053984,87.45749302,12.54250698,93.41553332,6.584466681,6456.776037,12404.29139,0.520527601,5.678371153,18.93726098,1151.150464,0.5,0
EXP_008,5.019442475,94.98055752,84.83362471,15.16637529,91.98217521,8.017824789,90.68623114,9.31376886,7830.213633,14368.40951,0.544960361,1.118738352,18.53680881,101.8614314,0.5,19.74479252
EXP_005,5.938099088,94.06190091,78.67779024,21.32220976,93.75809313,6.24190687,84.95436129,15.04563871,6007.783436,11409.94894,0.526539029,22.62970588,20.10604594,2.527305466,0.5,19.40899194
EXP_005,5.934295324,94.06570468,78.13123215,21.86876785,93.75502992,6.244970081,84.99801553,15.00198447,5915.569043,11406.92894,0.518594362,21.83638714,20.33689567,38.0738374,0.5,19.9548384
EXP_010,5.843905535,94.15609446,84.10238251,15.89761749,90.92339372,9.076606276,90.80453896,9.195461044,9123.09322,20696.29083,0.440808128,7.935645011,19.93703387,696.8528018,0.5,23.66166991
EXP_001,5.224405051,94.77559495,88.74717039,11.25282961,90.29520991,9.704790089,90.16598859,9.834011405,5861.644682,11316.9894,0.517950885,1.421625774,25.7241091,32.11277091,0.5,21.6688288
EXP_008,4.971493382,95.02850662,84.83308213,15.16691787,92.29092314,7.709076862,90.42887361,9.571126394,7856.325802,13743.66975,0.571632318,0,19.42355752,47.93232066,0.5,19.88290035
EXP_003,5.632281568,94.36771843,88.32155414,11.67844586,95.1195085,4.880491495,87.20997211,12.79002789,5757.819718,8712.24619,0.660888087,5.240865159,22.94765195,371.0244424,0.5,25.77791114
EXP_002,5.67633178,94.32366822,87.01776331,12.98223669,92.50808015,7.491919853,86.14436357,13.85563643,6631.757522,11933.82901,0.555710788,7.475789793,22.78904439,697.7107697,0.5,20.81925968
EXP_006,6.022270246,93.97772975,76.58218773,23.41781227,89.35672109,10.64327891,88.70856581,11.29143419,6080.998438,14387.81025,0.422649335,16.58757668,18.1253702,72.48770627,0.5,22.30178718
EXP_011,6.220417349,93.77958265,79.33561197,20.66438803,88.82729887,11.17270113,87.53053525,12.46946475,6103.155321,13346.06808,0.457299879,6.079585697,26.83133612,479.3195439,0.5,20.09876474
EXP_009,5.99519725,94.00480275,81.94093153,18.05906847,87.24356692,12.75643308,93.2609119,6.739088103,6272.261101,12258.41009,0.511670034,5.872003637,18.31606403,1165.831256,0.5,0.062973227
EXP_009,5.969666658,94.03033334,82.18822349,17.81177651,87.64822035,12.35177965,93.51380553,6.486194467,6442.60497,12603.77973,0.511164516,5.976583624,18.55707802,1133.047947,0.5,0
EXP_008,5.03131899,94.96868101,84.33981255,15.66018745,92.47284495,7.527155046,90.40118676,9.598813241,7619.149605,14091.63002,0.54068618,0,19.96675179,60.59666455,0.5,20.06875426
EXP_009,5.918690647,94.08130935,82.42116378,17.57883622,87.38333462,12.61666538,93.42159008,6.578409922,6336.970958,12243.8172,0.517564976,5.873557239,18.81450134,1174.711184,0.5,0
EXP_006,5.998764987,94.00123501,76.19393789,23.80606211,89.03110785,10.96889215,89.13758134,10.86241866,5916.502661,15153.39147,0.390440825,17.42328437,18.25948232,71.13716014,0.5,23.37456326
