treatment,substrate_mc,substrate_ts,substrate_vs,substrate_fs,inoculum_mc,inoculum_ts,inoculum_vs,inoculum_fs,scod,tcod,scod_tcod_ratio,trs,lignin,hmf,fm_ratio,h2_yield,substrate_mc_ts_sum,substrate_vs_fs_sum,inoculum_mc_ts_sum,inoculum_vs_fs_sum,calculated_scod_tcod_ratio,ratio_difference,data_quality_flag,quality_flags,outlier_variables,high_confidence_anomaly
1,5.21,94.79,89.22,10.78,90.11,9.89,90.11,9.89,6000,11500,0.52,1.44,25.42,42.55,0.5,22.22,100.0,100.0,100.0,100.0,0.5217391304347826,0.0017391304347825765,valid,valid,none,False
2,5.64,94.36,87.23,12.77,92.33,7.67,86.4,13.6,6400,12000,0.53,6.82,23.21,689.49,0.5,20.4,100.0,100.0,100.0,100.0,0.5333333333333333,0.0033333333333332993,valid,valid,none,False
3,5.61,94.39,88.26,11.74,95.12,4.88,87.26,12.74,5800,8900,0.65,5.74,23.0,425.19,0.5,26.45,100.0,100.0,100.0,100.0,0.651685393258427,0.0016853932584269815,valid,valid,none,False
4,5.26,94.74,78.64,21.36,94.7,5.3,92.33,7.67,5800,9000,0.64,22.16,28.91,189.35,0.5,24.22,100.0,100.0,100.0,100.0,0.6444444444444445,0.004444444444444473,valid,valid,none,False
5,5.94,94.06,78.41,21.59,93.78,6.22,84.77,15.23,6000,11200,0.54,22.2,20.23,0.0,0.5,19.65,100.0,100.0,100.0,100.0,0.5357142857142857,0.004285714285714337,valid,valid,none,False
6,6.01,93.99,76.59,23.41,89.51,10.49,88.91,11.09,6200,15000,0.41,16.86,18.19,11.26,0.5,22.31,100.0,100.0,100.0,100.0,0.41333333333333333,0.003333333333333355,valid,valid,none,False
7,6.23,93.77,84.99,15.01,87.52,12.48,91.58,8.42,11000,16000,0.69,0.02,16.67,645.63,0.5,14.51,100.0,100.0,100.0,100.0,0.6875,0.0024999999999999467,valid,valid,scod,False
8,5.0,95.0,84.72,15.28,91.99,8.01,90.41,9.59,7800,14000,0.56,0.0,19.49,67.88,0.5,19.67,100.0,100.0,100.0,100.0,0.5571428571428572,0.0028571428571428914,valid,valid,none,False
9,5.98,94.02,82.31,17.69,87.41,12.59,93.21,6.79,6400,12400,0.52,5.9,18.9,1145.36,0.5,0.0,100.0,100.0,100.0,100.0,0.5161290322580645,0.003870967741935516,valid,valid,h2_yield,False
10,5.87,94.13,83.8,16.2,90.9,9.1,90.65,9.35,8900,20200,0.44,7.98,19.79,700.36,0.5,24.21,100.0,100.0,100.0,100.0,0.4405940594059406,0.0005940594059405946,valid,valid,scod | tcod,False
11,6.23,93.77,79.55,20.45,88.66,11.34,87.59,12.41,6200,13400,0.46,6.79,27.23,465.66,0.5,21.15,100.0,100.0,100.0,100.0,0.4626865671641791,0.002686567164179088,valid,valid,none,False
12,5.22,94.78,82.36,17.64,90.12,9.88,88.52,11.48,5700,11000,0.52,14.52,24.25,222.54,1.0,64.23,100.0,100.0,100.0,100.0,0.5181818181818182,0.0018181818181818299,valid,valid,substrate_mc | substrate_ts,False
13,5.89,94.11,86.45,13.55,85.64,14.36,89.92,10.08,7900,8700,0.91,17.45,14.44,354.68,1.0,63.8,100.0,100.0,100.0,100.0,0.9080459770114943,0.001954022988505777,valid,valid,scod | scod_tcod_ratio,False
14,5.92,94.08,88.16,11.84,84.66,15.34,91.23,8.77,6200,10200,0.61,16.25,12.23,116.38,1.0,86.63,100.0,100.0,100.0,100.0,0.6078431372549019,0.002156862745098076,valid,valid,none,False
15,5.71,94.29,79.56,20.44,87.84,12.16,90.91,9.09,4500,11050,0.41,11.08,16.48,141.65,1.0,93.52,100.0,100.0,100.0,100.0,0.4072398190045249,0.002760180995475092,valid,valid,scod,False
16,5.76,94.24,91.22,8.78,92.65,7.35,86.22,13.78,6800,15000,0.45,21.83,21.34,38.66,1.0,87.65,100.0,100.0,100.0,100.0,0.4533333333333333,0.0033333333333332993,valid,valid,substrate_vs | substrate_fs,False
17,6.08,93.92,77.42,22.58,89.22,10.78,84.15,15.85,6300,14400,0.44,8.36,20.98,64.68,1.0,67.22,100.0,100.0,100.0,100.0,0.4375,0.0025000000000000022,valid,valid,substrate_vs | substrate_fs,False
18,6.04,93.96,85.55,14.45,89.17,10.83,87.63,12.37,6200,8700,0.71,22.36,20.91,113.36,1.0,91.2,100.0,100.0,100.0,100.0,0.7126436781609196,0.0026436781609195936,valid,valid,none,False
19,6.07,93.93,83.27,16.73,88.07,11.93,88.09,11.91,5800,12500,0.46,5.86,21.08,211.09,1.0,112.36,100.0,100.0,100.0,100.0,0.464,0.0040000000000000036,valid,valid,none,False
20,5.99,94.01,83.24,16.76,91.23,8.77,88.21,11.79,5900,11200,0.53,4.99,15.77,317.22,1.0,63.9,100.0,100.0,100.0,100.0,0.5267857142857143,0.003214285714285725,valid,valid,none,False
21,5.45,94.55,83.21,16.79,92.42,7.58,85.65,14.35,5500,10800,0.51,18.77,20.41,195.03,1.0,84.67,100.0,100.0,100.0,100.0,0.5092592592592593,0.0007407407407407085,valid,valid,none,False
22,6.16,93.84,83.18,16.82,86.33,13.67,91.77,8.23,6600,12800,0.52,6.79,16.88,116.81,1.0,87.26,100.0,100.0,100.0,100.0,0.515625,0.004375000000000018,valid,valid,none,False
23,7.04,92.96,89.26,10.74,90.23,9.77,90.9,9.1,6500,11400,0.57,17.89,15.33,345.46,1.5,105.44,100.0,100.0,100.0,100.0,0.5701754385964912,0.00017543859649127302,valid,valid,substrate_mc | substrate_ts,False
24,7.35,92.65,76.25,23.75,91.32,8.68,89.99,10.01,6700,12000,0.56,16.53,14.89,122.03,1.5,108.64,100.0,100.0,100.0,100.0,0.5583333333333333,0.0016666666666667052,valid,valid,substrate_mc | substrate_ts,False
25,6.25,93.75,89.77,10.23,86.43,13.57,88.52,11.48,8200,13200,0.62,14.58,23.25,246.59,1.5,92.59,100.0,100.0,100.0,100.0,0.6212121212121212,0.00121212121212122,valid,valid,none,False
26,6.13,93.87,81.67,18.33,89.92,10.08,88.63,11.37,8700,11000,0.79,17.86,19.39,116.53,1.5,110.65,100.0,100.0,100.0,100.0,0.7909090909090909,0.0009090909090908594,valid,valid,none,False
27,6.31,93.69,85.53,14.47,91.25,8.75,90.91,9.09,6700,9900,0.68,16.35,21.35,156.49,1.5,109.52,100.0,100.0,100.0,100.0,0.6767676767676768,0.003232323232323253,valid,valid,none,False
28,5.44,94.56,86.44,13.56,90.24,9.76,89.12,10.88,6500,11000,0.59,13.57,16.48,247.24,1.5,163.2,100.0,100.0,100.0,100.0,0.5909090909090909,0.0009090909090909705,valid,valid,substrate_mc | substrate_ts,False
29,6.37,93.63,89.92,10.08,90.09,9.91,90.36,9.64,6600,12200,0.54,9.11,14.64,444.69,1.5,133.23,100.0,100.0,100.0,100.0,0.5409836065573771,0.0009836065573770592,valid,valid,trs | hmf,False
32,6.0,94.0,89.93,10.07,86.63,13.37,87.56,12.44,5800,10500,0.55,23.12,7.73,133.23,1.5,137.45,100.0,100.0,100.0,100.0,0.5523809523809524,0.0023809523809523725,valid,valid,trs,False
